amfi_code,sortino_ratio
100016,-0.47376091238348456
100025,-0.9361664680297559
100033,1.980757029261388
101206,1.939282932029156
101207,0.07582654302337254
101208,-0.9202353836970717
102885,1.5112493982837234
102886,-0.4994892859579716
102887,1.0823889558046962
118632,2.00879232527797
118633,1.1711309993984458
118634,0.6100816149036127
118635,1.1676618948927464
118636,-0.5931452128194357
119092,-0.044302516836313255
119093,0.1354625041207445
119094,1.81194596600339
119095,-0.3387195467019706
119120,-0.34486740342745714
119551,2.3585414024717277
119552,1.719857271713694
119598,1.7360087704578837
119599,-0.29889199347840467
120503,1.3972863246009224
120504,1.9459451411724797
120505,2.2296708548031883
120506,1.1021779563271463
120507,2.042169726811323
120841,0.8461841203142758
120842,-0.003736207174007307
120843,2.639633412257017
120844,0.6799808354788145
125497,1.3790391832139255
125498,0.4044082625692363
148567,2.6972149241790966
148568,1.7305507347890898
148569,2.3778190350426205
149322,0.731708225699031
149323,2.044847264606172
149324,1.6818160378017846
